omega0,Q,alpha,kind,A,dA_over_A
0.45,0.4666666666666667,0.14666666666666667,boost,0.011422566834660917,0.07366870562623523
0.45,0.4666666666666667,0.17333333333333334,boost,0.011565066473216099,0.08706301574009592
0.45,0.4666666666666667,0.2,boost,0.011707566111771286,0.1004573258539571
0.45,0.5,0.04,boost,0.01084383375856335,0.019270460318423038
0.45,0.5,0.06666666666666667,boost,0.01098051038253398,0.032117433864038286
0.45,0.5,0.09333333333333334,boost,0.011117187006504612,0.04496440740965354
0.45,0.5,0.12,boost,0.011253863630475243,0.05781138095526879
0.45,0.5,0.14666666666666667,boost,0.011390540254445873,0.07065835450088404
0.45,0.5,0.17333333333333334,boost,0.011527216878416506,0.08350532804649946
0.45,0.5,0.2,boost,0.011663893502387137,0.0963523015921147
0.4833333333333334,0.3,0.04,boost,0.010924855562189544,0.02688613692474171
0.4833333333333334,0.3,0.06666666666666667,boost,0.011115546721910972,0.044810228207902904
0.4833333333333334,0.3,0.09333333333333334,boost,0.011306237881632398,0.06273431949106377
0.4833333333333334,0.3,0.12,boost,0.011496929041353828,0.08065841077422513
0.4833333333333334,0.3,0.14666666666666667,boost,0.011687620201075258,0.09858250205738649
0.4833333333333334,0.3,0.17333333333333334,boost,0.011878311360796685,0.11650659334054751
0.4833333333333334,0.3,0.2,boost,0.012069002520518114,0.13443068462370872
0.4833333333333334,0.3333333333333333,0.04,boost,0.010911473961132045,0.025628328019390023
0.4833333333333334,0.3333333333333333,0.06666666666666667,boost,0.011093244053481808,0.04271388003231676
0.4833333333333334,0.3333333333333333,0.09333333333333334,boost,0.011275014145831572,0.05979943204524366
0.4833333333333334,0.3333333333333333,0.12,boost,0.011456784238181337,0.07688498405817056
0.4833333333333334,0.3333333333333333,0.14666666666666667,boost,0.011638554330531101,0.09397053607109747
0.4833333333333334,0.3333333333333333,0.17333333333333334,boost,0.011820324422880864,0.1110560880840242
0.4833333333333334,0.3333333333333333,0.2,boost,0.012002094515230625,0.12814164009695078
0.4833333333333334,0.36666666666666664,0.04,boost,0.010899202531954045,0.0244748701607109
0.4833333333333334,0.36666666666666664,0.06666666666666667,boost,0.011072791671518473,0.040791450267851394
0.4833333333333334,0.36666666666666664,0.09333333333333334,boost,0.011246380811082904,0.05710803037499221
0.4833333333333334,0.36666666666666664,0.12,boost,0.011419969950647335,0.07342461048213303
0.4833333333333334,0.36666666666666664,0.14666666666666667,boost,0.011593559090211765,0.08974119058927368
0.4833333333333334,0.36666666666666664,0.17333333333333334,boost,0.011767148229776193,0.10605777069641417
0.4833333333333334,0.36666666666666664,0.2,boost,0.011940737369340624,0.122374350803555
0.4833333333333334,0.4,0.04,boost,0.010887934428787797,0.02341572032893601
0.4833333333333334,0.4,0.06666666666666667,boost,0.011054011499574723,0.03902620054822625
0.4833333333333334,0.4,0.09333333333333334,boost,0.011220088570361657,0.05463668076751731
0.4833333333333334,0.4,0.12,boost,0.011386165641148582,0.07024716098680754
0.4833333333333334,0.4,0.14666666666666667,boost,0.011552242711935515,0.08585764120609843
0.4833333333333334,0.4,0.17333333333333334,boost,0.011718319782722444,0.101468121425389
0.4833333333333334,0.4,0.2,boost,0.011884396853509373,0.11707860164467956
0.4833333333333334,0.43333333333333335,0.04,boost,0.010877567337306233,0.02244126144826268
0.4833333333333334,0.43333333333333335,0.06666666666666667,boost,0.011036733013772119,0.03740210241377103
0.4833333333333334,0.43333333333333335,0.09333333333333334,boost,0.011195898690238008,0.0523629433792797
0.4833333333333334,0.43333333333333335,0.12,boost,0.011355064366703894,0.06732378434478804
0.4833333333333334,0.43333333333333335,0.14666666666666667,boost,0.011514230043169782,0.08228462531029655
0.4833333333333334,0.43333333333333335,0.17333333333333334,boost,0.011673395719635668,0.0972454662758049
0.4833333333333334,0.43333333333333335,0.2,boost,0.011832561396101556,0.1122063072413134
0.4833333333333334,0.4666666666666667,0.04,boost,0.010868007274813156,0.021542659577840552
0.4833333333333334,0.4666666666666667,0.06666666666666667,boost,0.011020799576283657,0.0359044326297342
0.4833333333333334,0.4666666666666667,0.09333333333333334,boost,0.011173591877754161,0.05026620568162801
0.4833333333333334,0.4666666666666667,0.12,boost,0.011326384179224663,0.06462797873352166
0.4833333333333334,0.4666666666666667,0.14666666666666667,boost,0.011479176480695167,0.07898975178541547
0.4833333333333334,0.4666666666666667,0.17333333333333334,boost,0.01163196878216567,0.09335152483730928
0.4833333333333334,0.4666666666666667,0.2,boost,0.011784761083636172,0.10771329788920293
0.4833333333333334,0.5,0.04,boost,0.010859169803978377,0.02071197799728774
0.4833333333333334,0.5,0.06666666666666667,boost,0.011006070458225692,0.034519963328812686
0.4833333333333334,0.5,0.09333333333333334,boost,0.011152971112473006,0.04832794866033763
0.4833333333333334,0.5,0.12,boost,0.01129987176672032,0.06213593399186257
0.4833333333333334,0.5,0.14666666666666667,boost,0.011446772420967638,0.07594391932338784
0.4833333333333334,0.5,0.17333333333333334,boost,0.011593673075214956,0.0897519046549131
